STATION,ELEMENT,YEAR,MONTH,TIMEFUNCTION,MDFUNCTION,VALUE,FLAG_REPEAT,FLAG_INTERRUPTED,
0-20000-0-11723,F,1958,09,14:00,G(20),0.0,,,
0-20000-0-11723,F,1958,09,14:00,G(30),0.0,,,
0-20000-0-11723,F,1958,09,14:00,MAX,9.0,*,,
0-20000-0-11723,F,1958,09,21:00,AVG,2.1,,,
0-20000-0-11723,F,1958,09,21:00,G(10),0.0,,,
0-20000-0-11723,F,1958,09,21:00,G(15),0.0,,,
0-20000-0-11723,F,1958,09,21:00,G(20),0.0,,,
0-20000-0-11723,F,1958,09,21:00,G(30),0.0,,,
0-20000-0-11723,F,1958,09,21:00,MAX,9.0,*,,
0-20000-0-11723,F,1958,10,AVG,AVG,2.5,,,
0-20000-0-11723,F,1958,10,AVG,G(10),0.0,,,
0-20000-0-11723,F,1958,10,AVG,G(15),0.0,,,
0-20000-0-11723,F,1958,10,AVG,G(20),0.0,,,
0-20000-0-11723,F,1958,10,AVG,G(30),0.0,,,
0-20000-0-11723,F,1958,10,AVG,MAX,8.3,,,
0-20000-0-11723,F,1958,10,07:00,AVG,2.0,,,
0-20000-0-11723,F,1958,10,07:00,G(10),0.0,,,
0-20000-0-11723,F,1958,10,07:00,G(15),0.0,,,
0-20000-0-11723,F,1958,10,07:00,G(20),0.0,,,
0-20000-0-11723,F,1958,10,07:00,G(30),0.0,,,
0-20000-0-11723,F,1958,10,07:00,MAX,9.0,,,
0-20000-0-11723,F,1958,10,14:00,AVG,3.3,,,
0-20000-0-11723,F,1958,10,14:00,G(10),1.0,,,
0-20000-0-11723,F,1958,10,14:00,G(15),0.0,,,
0-20000-0-11723,F,1958,10,14:00,G(20),0.0,,,
0-20000-0-11723,F,1958,10,14:00,G(30),0.0,,,
0-20000-0-11723,F,1958,10,14:00,MAX,12.0,,,
0-20000-0-11723,F,1958,10,21:00,AVG,2.1,,,
0-20000-0-11723,F,1958,10,21:00,G(10),0.0,,,
0-20000-0-11723,F,1958,10,21:00,G(15),0.0,,,
0-20000-0-11723,F,1958,10,21:00,G(20),0.0,,,
0-20000-0-11723,F,1958,10,21:00,G(30),0.0,,,
0-20000-0-11723,F,1958,10,21:00,MAX,9.0,*,,
0-20000-0-11723,F,1958,11,AVG,AVG,2.8,,,
0-20000-0-11723,F,1958,11,AVG,G(10),0.0,,,
0-20000-0-11723,F,1958,11,AVG,G(15),0.0,,,
0-20000-0-11723,F,1958,11,AVG,G(20),0.0,,,
0-20000-0-11723,F,1958,11,AVG,G(30),0.0,,,
0-20000-0-11723,F,1958,11,AVG,MAX,6.0,*,,
0-20000-0-11723,F,1958,11,07:00,AVG,2.2,,,
0-20000-0-11723,F,1958,11,07:00,G(10),0.0,,,
0-20000-0-11723,F,1958,11,07:00,G(15),0.0,,,
0-20000-0-11723,F,1958,11,07:00,G(20),0.0,,,
0-20000-0-11723,F,1958,11,07:00,G(30),0.0,,,
0-20000-0-11723,F,1958,11,07:00,MAX,7.0,*,,
0-20000-0-11723,F,1958,11,14:00,AVG,3.4,,,
0-20000-0-11723,F,1958,11,14:00,G(10),0.0,,,
0-20000-0-11723,F,1958,11,14:00,G(15),0.0,,,
0-20000-0-11723,F,1958,11,14:00,G(20),0.0,,,
0-20000-0-11723,F,1958,11,14:00,G(30),0.0,,,
0-20000-0-11723,F,1958,11,14:00,MAX,9.0,,,
0-20000-0-11723,F,1958,11,21:00,AVG,2.9,,,
0-20000-0-11723,F,1958,11,21:00,G(10),0.0,,,
0-20000-0-11723,F,1958,11,21:00,G(15),0.0,,,
0-20000-0-11723,F,1958,11,21:00,G(20),0.0,,,
0-20000-0-11723,F,1958,11,21:00,G(30),0.0,,,
0-20000-0-11723,F,1958,11,21:00,MAX,7.0,*,,
0-20000-0-11723,F,1958,12,AVG,AVG,3.2,,,
0-20000-0-11723,F,1958,12,AVG,G(10),0.0,,,
0-20000-0-11723,F,1958,12,AVG,G(15),0.0,,,
0-20000-0-11723,F,1958,12,AVG,G(20),0.0,,,
0-20000-0-11723,F,1958,12,AVG,G(30),0.0,,,
0-20000-0-11723,F,1958,12,AVG,MAX,7.7,,,
0-20000-0-11723,F,1958,12,07:00,AVG,2.7,,,
0-20000-0-11723,F,1958,12,07:00,G(10),0.0,,,
0-20000-0-11723,F,1958,12,07:00,G(15),0.0,,,
0-20000-0-11723,F,1958,12,07:00,G(20),0.0,,,
0-20000-0-11723,F,1958,12,07:00,G(30),0.0,,,
0-20000-0-11723,F,1958,12,07:00,MAX,9.0,*,,
0-20000-0-11723,F,1958,12,14:00,AVG,4.1,,,
